SHIPMENT_ID,SHIPMENT_DATE,DELIVERY_DATE,DRUG_NAME,NDC,MANUFACTURER,TC_SUB_CLASS,DRUG_CLASS,PHARMACY_NAME,PHARMACY_ID,AFFIL_ID,AFFIL_NAME,STATE_CODE,STATE_NAME,PATIENT_TYPE,PAYOR_TYPE,QUANTITY_SHIPPED,UNIT_PRICE,TOTAL_AMOUNT,DAYS_TO_DELIVER,QUARTER_NAME,MONTH_NAME,YEAR,COPAY_INTERVAL
SHP023,2024-03-06,2024-03-10,Carvedilol 12.5mg,00378-1805-05,Mylan Pharmaceuticals,Beta Blocker,Cardiovascular,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Medicaid,Medicaid,340,0.15,51.00,4,Q1 2024,March,2024,0-10
SHP024,2024-03-08,2024-03-11,Duloxetine 30mg,00406-9894-01,Amneal Pharmaceuticals,SNRI,Psychiatric,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Commercial,HMO,270,0.52,140.40,3,Q1 2024,March,2024,30-40
SHP025,2024-03-10,2024-03-14,Furosemide 40mg,00054-3298-25,Roxane Laboratories,Loop Diuretic,Cardiovascular,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Medicare,Medicare Part D,520,0.08,41.60,4,Q1 2024,March,2024,0-10
SHP026,2024-03-12,2024-03-15,Penicillin V 500mg,00093-3147-78,Teva Pharmaceuticals,Penicillin Antibiotic,Antibiotic,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Commercial,PPO,400,0.24,96.00,3,Q1 2024,March,2024,10-20
SHP027,2024-03-15,2024-03-19,Bupropion 150mg,00378-1806-93,Mylan Pharmaceuticals,Atypical Antidepressant,Psychiatric,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Medicare,Medicare Advantage,310,0.29,89.90,4,Q1 2024,March,2024,20-30
SHP028,2024-03-18,2024-03-21,Warfarin 5mg,00093-0861-01,Teva Pharmaceuticals,Anticoagulant,Cardiovascular,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Commercial,EPO,250,0.17,42.50,3,Q1 2024,March,2024,10-20
SHP029,2024-03-20,2024-03-24,Clonazepam 1mg,00378-5120-01,Mylan Pharmaceuticals,Benzodiazepine,Psychiatric,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Medicaid,Medicaid,180,0.45,81.00,4,Q1 2024,March,2024,0-10
SHP030,2024-03-22,2024-03-25,Meloxicam 15mg,00093-5159-56,Teva Pharmaceuticals,NSAID,Anti-inflammatory,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Medicare,Medicare Part D,360,0.21,75.60,3,Q1 2024,March,2024,20-30
SHP031,2024-04-02,2024-04-05,Lisinopril 20mg,00378-0346-01,Mylan Pharmaceuticals,ACE Inhibitor,Cardiovascular,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Commercial,PPO,550,0.16,88.00,3,Q2 2024,April,2024,10-20
SHP032,2024-04-05,2024-04-09,Metformin 1000mg,00093-7267-01,Teva Pharmaceuticals,Biguanide,Antidiabetic,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Medicare,Medicare Part D,700,0.11,77.00,4,Q2 2024,April,2024,0-10
SHP033,2024-04-08,2024-04-11,Atorvastatin 40mg,00071-0156-23,Pfizer Inc,Statin,Cardiovascular,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Medicaid,Medicaid,480,0.32,153.60,3,Q2 2024,April,2024,20-30
SHP034,2024-04-10,2024-04-13,Amlodipine 10mg,00093-7368-56,Teva Pharmaceuticals,Calcium Channel Blocker,Cardiovascular,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Commercial,HMO,620,0.14,86.80,3,Q2 2024,April,2024,10-20
SHP035,2024-04-12,2024-04-16,Omeprazole 40mg,00378-6251-93,Mylan Pharmaceuticals,Proton Pump Inhibitor,Gastrointestinal,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Medicare,Medicare Advantage,750,0.22,165.00,4,Q2 2024,April,2024,30-40
SHP036,2024-04-15,2024-04-18,Levothyroxine 100mcg,00074-3315-90,AbbVie Inc,Thyroid Hormone,Endocrine,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Commercial,PPO,430,0.12,51.60,3,Q2 2024,April,2024,0-10
SHP037,2024-04-18,2024-04-22,Albuterol Nebulizer,00173-0683-88,GlaxoSmithKline,Beta-2 Agonist,Respiratory,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Medicaid,Medicaid,150,32.00,4800.00,4,Q2 2024,April,2024,0-10
SHP038,2024-04-20,2024-04-23,Pregabalin 75mg,00071-1012-68,Pfizer Inc,Anticonvulsant,Neurological,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Commercial,EPO,380,0.68,258.40,3,Q2 2024,April,2024,40-50
SHP039,2024-04-22,2024-04-26,Sertraline 100mg,00093-7215-56,Teva Pharmaceuticals,SSRI,Psychiatric,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Medicare,Medicare Part D,400,0.26,104.00,4,Q2 2024,April,2024,20-30
SHP040,2024-04-25,2024-04-29,Losartan 100mg,00093-7366-56,Teva Pharmaceuticals,ARB,Cardiovascular,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Commercial,PPO,510,0.18,91.80,4,Q2 2024,April,2024,10-20
SHP041,2024-05-02,2024-05-05,Metoprolol 50mg,00378-0399-05,Mylan Pharmaceuticals,Beta Blocker,Cardiovascular,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Medicare,Medicare Advantage,475,0.13,61.75,3,Q2 2024,May,2024,0-10
SHP042,2024-05-05,2024-05-08,Prednisone 20mg,00054-4742-25,Roxane Laboratories,Corticosteroid,Anti-inflammatory,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Medicaid,Medicaid,280,0.11,30.80,3,Q2 2024,May,2024,0-10
SHP043,2024-05-08,2024-05-12,Pantoprazole 20mg,00378-1809-93,Mylan Pharmaceuticals,Proton Pump Inhibitor,Gastrointestinal,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Commercial,HMO,650,0.14,91.00,4,Q2 2024,May,2024,10-20
SHP044,2024-05-10,2024-05-13,Paroxetine 20mg,00093-1042-56,Teva Pharmaceuticals,SSRI,Psychiatric,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Medicare,Medicare Part D,295,0.23,67.85,3,Q2 2024,May,2024,20-30
SHP045,2024-05-12,2024-05-16,Pravastatin 40mg,00093-7221-56,Teva Pharmaceuticals,Statin,Cardiovascular,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Commercial,PPO,485,0.19,92.15,4,Q2 2024,May,2024,10-20
SHP046,2024-05-15,2024-05-19,Venlafaxine 75mg,00378-1837-93,Mylan Pharmaceuticals,SNRI,Psychiatric,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Medicare,Medicare Advantage,330,0.36,118.80,4,Q2 2024,May,2024,30-40
SHP047,2024-05-18,2024-05-21,Cyclobenzaprine 10mg,00406-0462-01,Amneal Pharmaceuticals,Muscle Relaxant,Pain Management,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Medicaid,Medicaid,220,0.14,30.80,3,Q2 2024,May,2024,0-10
SHP048,2024-05-20,2024-05-23,Apixaban 5mg,00003-0893-21,Bristol-Myers Squibb,Anticoagulant,Cardiovascular,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Commercial,EPO,200,12.50,2500.00,3,Q2 2024,May,2024,50-100
SHP049,2024-05-22,2024-05-26,Triamterene-HCTZ,00378-0087-01,Mylan Pharmaceuticals,Combination Diuretic,Cardiovascular,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Medicare,Medicare Part D,590,0.09,53.10,4,Q2 2024,May,2024,0-10
SHP050,2024-05-25,2024-05-29,Citalopram 20mg,00093-0128-56,Teva Pharmaceuticals,SSRI,Psychiatric,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Commercial,HMO,340,0.20,68.00,4,Q2 2024,May,2024,10-20
